Code,Country,Obesity_Percentage,Population,Mean_BMI,id,Malnutrition_Percentage,Underweight_Percentage,Per_Capita_Wastage,Total_Wastage,Daily_Spend,Cost_Meat,Cost_Fruit,Cost_Lentils,Cost_Oils,Cost_StarchyStaples,Cost_Vegetables,Unaffordability,Continent
DMA,Dominica,31.3,72737,27,212,13.4,4.6,96.57880825,6394,0,0.94,0.84,0.55,0.18,0.88,1.51,0,North America
DOM,Dominican Republic,29.3,11228821,26.5,214,4.6,4.6,157.4734852,1799544,11.336495,1.17,0.52,0.49,0.26,0.64,0.84,2900000,North America
ECU,Ecuador,27.4,18001000,27.3,218,13.9,1.5,95.25709244,1727535,10.501099,0.83,0.35,0.3,0.16,0.68,0.41,4800000,South America
EGY,Egypt,44.3,110990103,29.6,818,8.5,1.6,155.1891829,18085437,5.422779,1.59,0.41,0.47,0.24,0.66,0.5,46200000,Africa
SLV,El Salvador,30.9,6336392,27.7,222,6.8,2.7,91.36425383,579084,10.355628,0,0,0,0,0,0,0,North America
GNQ,Equatorial Guinea,17.7,1674908,24,226,0,9.1,79.69479847,150824,0,1.11,0.37,0.35,0.18,0.9,1.06,0,Africa
ERI,Eritrea,4.8,3684032,20.7,232,0,33.4,95.75602444,338555,0,0,0,0,0,0,0,0,Africa
EST,Estonia,22.2,1348840,26.4,233,1.8,1.5,59.63029657,81130,40.0546,0.75,0.65,0.73,0.09,0.36,0.83,100000,Europe
SWZ,Swaziland,30.1,1201670,26.8,748,12.4,4.2,86.05429588,106950,2.9537303,1.26,0.31,0.33,0.24,0.53,0.79,800000,Africa
ETH,Ethiopia,2.8,123379924,20.6,231,22.2,24.2,64.69318492,8543382,3.0618846,1.28,0.72,0.29,0.16,0.57,0.34,66300000,Africa
FJI,Fiji,33.8,929766,27.7,242,7.8,4.2,90.38161725,83945,6.643387,1.12,0.7,0.33,0.19,0.55,1.01,600000,Oceania
FIN,Finland,21.5,5556106,25.9,246,1.8,1.2,52.27057079,293620,51.83912,0.59,0.62,0.48,0.08,0.22,0.9,100000,Europe
FRA,France,9.7,67971311,25,250,1.8,3.9,59.24145548,3942430,49.779552,0.58,0.88,0.27,0.07,0.3,0.95,2200000,Europe
PYF,French Polynesia,48.1,306279,0,258,5.4,1.4,89.60742636,25252,0,0,0,0,0,0,0,0,Oceania
GAB,Gabon,21,2388992,25.2,266,20.1,7,85.01506528,215849,9.673192,1.02,0.45,0.37,0.14,0.59,1.03,800000,Africa
GMB,Gambia,14.9,2705992,24,270,20.5,11.7,90.33221135,249316,3.8196523,0.94,0.41,0.29,0.23,0.8,0.33,1200000,Africa
GEO,Georgia,34.7,3712502,27.6,268,4,2.3,99.17955075,377643,7.081152,0,0,0,0,0,0,0,Europe
DEU,Germany,20.4,83797985,26.6,276,1.8,1.4,76.90941217,6502860,59.369686,0.66,0.9,0.32,0.07,0.3,0.86,2100000,Europe
GHA,Ghana,12.9,33475870,23.9,288,6.2,6.2,81.6957133,2812571,3.7379272,1.6,0.28,0.44,0.29,0.77,0.51,20600000,Africa
GRC,Greece,28,10426919,27.1,300,1.8,1.3,89.96297697,903930,26.430964,0.9,0.66,0.33,0.13,0.43,0.8,2200000,Europe
GRL,Greenland,27,56661,0,304,0,2.5,84.49140401,4718,0,0,0,0,0,0,0,0,North America
GRD,Grenada,30.3,125438,27,308,0,4.2,101.3079424,11874,14.055036,0.96,1.19,0.56,0.23,0.75,1.43,100000,North America
GTM,Guatemala,26.8,17357886,26.6,320,12.6,2.6,88.52746871,1629472,6.169567,0.91,0.35,0.35,0.32,0.59,0.48,7900000,North America
GIN,Guinea,9.5,13859341,22.9,324,10.3,9.9,83.71980644,1235269,3.8037891,1.1,0.32,0.33,0.15,0.5,0.36,5000000,Africa
GNB,Guinea Bissau,11.5,2105566,23.4,624,32.2,9.5,88.180889,194117,3.1120498,1.12,0.45,0.24,0.18,0.6,0.85,1300000,Africa
GUY,Guyana,28.5,808726,26.4,328,1.8,7.5,85.78885243,71298,6.042705,0,0,0,0,0,0,100000,South America
HTI,Haiti,10.7,11584996,25.3,332,50.4,13.2,88.75108302,1044831,1.7051569,0,0,0,0,0,0,9400000,North America
HND,Honduras,29.5,10432860,26.8,340,20.4,3.1,86.85415262,940257,6.9277115,1.08,0.8,0.35,0.27,0.6,0.79,4000000,North America
HUN,Hungary,31.7,9643048,27.3,348,1.8,1.7,68.00439018,658020,28.789747,0.75,0.83,0.48,0.12,0.53,0.99,1200000,Europe
ISL,Iceland,21.2,382003,26.2,352,1.8,1.7,70.88531658,27886,56.521667,0.74,0.54,0.28,0.06,0.35,0.79,100000,Europe
IND,India,7.3,1417173173,21.8,356,13.7,14.7,53.89081423,78192338,3.9418383,0.91,0.53,0.37,0.24,0.42,0.64,830900000,Asia
IDN,Indonesia,11.2,275501339,23.1,360,7.2,9.1,51.95410035,14728364,5.7831755,1.25,0.91,0.46,0.13,0.69,0.78,127600000,Asia
IRN,Iran,24.3,88550570,26.1,364,6.5,3.6,89.64252679,8208360,10.912499,0,0,0,0,0,0,13200000,Asia
IRQ,Iraq,40.5,44496122,28.8,368,16.1,3.3,138.5299944,6378198,9.614323,1.38,0.58,0.36,0.15,0.62,0.57,12400000,Asia
IRL,Ireland,28.3,5127170,27.5,372,1.8,1.1,45.85329837,240960,50.1327,0.46,0.65,0.22,0.06,0.3,0.56,100000,Europe
ISR,Israel,22.5,9557500,27.3,376,1.8,3.5,93.15341823,874433,32.92121,0.71,0.71,0.27,0.08,0.41,0.57,1600000,Asia
ITA,Italy,17.3,58940425,25.6,380,1.8,1.9,106.453847,6317280,43.379395,0.75,0.93,0.32,0.07,0.32,0.81,4600000,Europe
JAM,Jamaica,33.8,2827377,27.8,388,7.3,4.2,85.71629837,243364,15.188954,0.95,1.47,0.64,0.23,0.53,2,700000,North America
JPN,Japan,5.5,125124989,22.7,392,3.4,8.9,59.78041744,7398006,41.49211,1.01,1.29,0.52,0.1,1.45,1.55,9500000,Asia
JOR,Jordan,38.5,11285869,29,400,17.9,3.4,98.39849735,1136788,13.392007,0.93,0.63,0.33,0.12,0.62,0.6,1500000,Asia
KAZ,Kazakhstan,18.4,19634983,26.4,398,1.8,3.1,82.99049173,1708990,10.810688,0.67,0.62,0.23,0.17,0.53,0.3,1000000,Asia
KEN,Kenya,12.4,54027487,23.3,404,34.5,11.8,77.10339182,4351168,2.6132443,1.2,0.31,0.31,0.32,0.64,0.35,41800000,Africa
KIR,Kiribati,46.3,131232,30.1,296,3.7,0.7,59.88789604,8056,5.325838,0,0,0,0,0,0,0,Oceania
KWT,Kuwait,41.4,4268873,29.6,414,1.8,0.8,230.3750524,1136788,0,0.45,0.61,0.13,0.15,0.33,0.91,0,Asia
KGZ,Kyrgyzstan,26.6,6974900,26.6,417,6.1,3.5,79.08255068,568288,6.0340743,0.94,1.02,0.4,0.23,0.68,0.55,2400000,Asia
LAO,Laos,8,7529475,22.9,418,5.4,8.4,86.72414548,673831,4.7573843,1.19,1.02,0.38,0.2,0.82,0.73,4300000,Asia
LVA,Latvia,24.3,1879383,26.7,428,1.8,1.9,81.0419527,151700,30.76944,0.87,0.77,0.34,0.12,0.45,0.8,300000,Europe
LBN,Lebanon,29.8,5489739,27.6,422,9.6,2.4,120.8806123,701828,26.116678,1.76,1,0.69,0.4,0.59,0.56,100000,Asia
LSO,Lesotho,21,2305825,24.9,426,0,6.9,88.07916421,205878,3.2375739,1.33,0.64,0.49,0.32,0.57,0.96,1700000,Africa
LBR,Liberia,17,5302681,24.1,430,38.4,6,86.87130533,487593,3.0950387,1.02,0.36,0.25,0.1,0.66,0.94,3400000,Africa
LBY,Libya,36.7,6812341,28.1,434,11.4,4.4,77.62301145,572937,0,0,0,0,0,0,0,0,Africa
LTU,Lithuania,25.4,2831639,26.4,440,1.8,1.4,12.76621046,36500,34.91118,0.79,0.62,0.35,0.09,0.42,0.89,200000,Europe
LUX,Luxembourg,18.4,653103,26.3,442,1.8,1.9,87.88534343,59150,79.70014,0.54,0.78,0.33,0.06,0.26,0.73,100000,Europe
MDG,Madagascar,4.3,29611714,21.3,450,39.7,17.5,85.22074144,2724081,1.1187238,1.3,0.45,0.36,0.28,0.62,0.42,27100000,Africa
MWI,Malawi,7.7,20405317,22.9,454,19.9,7.9,86.70824232,1877693,1.5339028,1.2,0.32,0.27,0.26,0.6,0.37,17600000,Africa
MYS,Malaysia,22.1,33938221,25.7,458,1.8,5.6,77.47430233,2754808,25.865078,0.81,0.85,0.33,0.14,0.56,0.71,900000,Asia
MDV,Maldives,17.3,523787,25.5,462,0,6.5,204.3903077,107877,15.8306,0.93,0.99,0.45,0.14,0.18,1.26,100000,Asia
MLI,Mali,11.4,22593590,23,466,9.6,9.3,84.90072962,2078251,3.3488104,1.34,0.35,0.26,0.18,0.59,0.47,12200000,Africa
MLT,Malta,32.3,531113,27.1,470,1.8,1.5,90.3620598,48760,48.106636,0.89,1.1,0.48,0.1,0.54,0.83,100000,Europe
MHL,Marshall Islands,45.9,41569,29.6,584,0,1.7,67.27388942,2526,9.188247,0,0,0,0,0,0,0,Oceania
MRT,Mauritania,22.7,4736139,24.9,478,9.3,8.6,81.72147638,422451,5.2766995,1.12,0.89,0.55,0.21,0.63,0.86,2500000,Africa
MUS,Mauritius,19.2,1262523,25.2,480,5.9,5.9,8.974409402,11408,12.731154,1.02,0.51,0.36,0.14,0.58,1.31,200000,Africa
MEX,Mexico,36,127504125,28,484,3.1,1.5,102.15761,13368447,11.628478,0.85,0.57,0.44,0.13,0.51,0.79,30700000,North America
FSM,Federated States of Micronesia,47.1,114164,29.7,583,0,2,37.15977377,4205,4.2220106,0,0,0,0,0,0,0,Oceania
MNG,Mongolia,24.1,3398366,26.2,496,1.8,3,17.3682363,60364,10.326545,0.84,2.38,0.49,0.21,0.5,0.85,800000,Asia
MNE,Montenegro,18,617213,26.5,499,1.8,1.7,84.65587748,54051,16.274788,0.89,0.7,0.47,0.15,0.57,0.89,100000,Europe
MAR,Morocco,21.8,37457971,26,504,6.9,5.4,110.810715,4219805,7.7121487,0.83,0.45,0.38,0.13,0.47,0.52,4400000,Africa
MOZ,Mozambique,10.3,32969518,22.8,508,24.8,10.1,87.58415676,3033197,1.2939788,1.21,0.22,0.41,0.27,0.6,0.54,28600000,Africa
MMR,Myanmar,7.4,54179306,22.6,104,5.3,14.3,77.46675694,4221946,5.47138,0,0,0,0,0,0,30900000,Asia
